TotalOrders,TotalSpent,AvgOrderValue,TotalTransactions,FirstPurchase,LastPurchase,TotalItems,CustomerLifespan,Recency
4,2724.81,26.2,104,2019-06-05 09:49:00,2019-11-16 11:27:00,1127,164,21
5,1845.31,21.21,87,2019-08-10 09:57:00,2019-12-03 12:44:00,808,115,4
5,1850.56,18.69,99,2018-12-20 14:28:00,2019-06-06 08:02:00,1532,167,184
2,585.27,21.68,27,2019-08-08 11:23:00,2019-11-09 08:39:00,126,92,28
2,401.9,40.19,10,2018-12-06 09:53:00,2019-01-04 12:37:00,354,29,337
6,2780.66,27.81,100,2019-01-15 11:12:00,2019-11-22 12:30:00,1462,311,15
1,549.84,17.18,32,2019-09-19 09:33:00,2019-09-19 09:33:00,353,0,79
1,460.89,4.61,100,2019-11-16 12:07:00,2019-11-16 12:07:00,300,0,21
4,1582.6,24.73,64,2019-01-09 09:47:00,2019-09-26 15:41:00,816,260,71
2,1272.48,47.13,27,2019-05-04 14:01:00,2019-10-05 08:08:00,819,153,63
12,3018.63,19.35,156,2018-12-01 16:35:00,2019-11-18 15:21:00,2118,351,18
2,2409.9,19.13,126,2019-07-25 14:21:00,2019-11-02 09:52:00,1263,99,35
1,1635.66,19.24,85,2019-10-23 10:27:00,2019-10-23 10:27:00,1394,0,45
4,1108.65,18.79,59,2019-03-21 09:42:00,2019-08-10 13:15:00,1178,142,118
1,84.3,16.86,5,2019-02-07 13:50:00,2019-02-07 13:50:00,11,0,302
1,225.6,20.51,11,2019-01-18 13:49:00,2019-01-18 13:49:00,94,0,322
1,427.7,85.54,5,2019-10-19 10:51:00,2019-10-19 10:51:00,96,0,49
1,1710.39,31.67,54,2019-07-12 08:52:00,2019-07-12 08:52:00,857,0,148
2,3415.3,32.53,105,2019-06-07 10:23:00,2019-11-15 19:22:00,1818,161,21
5,1708.12,22.18,77,2019-03-18 13:21:00,2019-10-19 10:11:00,1416,214,49
5,2888.55,27.51,105,2019-03-22 14:46:00,2019-11-05 12:27:00,1409,227,32
3,11072.67,101.58,109,2019-06-08 12:19:00,2019-09-20 10:38:00,5551,103,78
2,693.33,26.67,26,2019-02-02 10:38:00,2019-02-02 10:39:00,211,0,308
3,1226.88,20.11,61,2019-06-21 13:51:00,2019-09-24 10:16:00,829,94,74
3,758.1,19.95,38,2019-01-04 16:12:00,2019-10-02 09:00:00,286,270,66
3,562.41,31.24,18,2019-01-31 14:51:00,2019-05-04 14:51:00,300,93,216
21,124914.53,174.95,714,2019-01-04 11:12:00,2019-11-13 14:22:00,77374,313,23
9,3649.1,19.01,192,2018-12-15 11:51:00,2019-12-04 14:52:00,1552,354,2
1,668.58,19.66,34,2019-08-17 11:08:00,2019-08-17 11:08:00,407,0,112
1,600.39,20.7,29,2019-10-05 08:55:00,2019-10-05 08:55:00,345,0,63
4,807.04,17.93,45,2019-01-22 15:09:00,2019-11-22 09:07:00,484,303,15
3,803.56,20.6,39,2019-01-17 09:13:00,2019-09-03 09:48:00,370,229,95
8,1859.31,14.87,125,2018-12-19 10:54:00,2019-12-07 10:10:00,1339,352,0
2,1760.96,58.7,30,2019-06-28 12:06:00,2019-06-28 12:06:00,740,0,162
1,777.2,21.59,36,2019-09-20 17:31:00,2019-09-20 17:31:00,496,0,77
1,582.73,19.42,30,2019-05-27 12:26:00,2019-05-27 12:26:00,258,0,194
3,825.8,26.64,31,2018-12-01 10:44:00,2019-11-16 08:56:00,533,349,21
9,7956.46,27.06,294,2019-02-27 09:33:00,2019-11-12 08:22:00,3536,257,25
4,3750.4,38.66,97,2018-12-07 12:05:00,2019-11-28 17:22:00,1557,356,8
1,256.4,23.31,11,2019-10-25 15:09:00,2019-10-25 15:09:00,117,0,42
15,6487.45,27.61,235,2018-11-29 10:03:00,2019-11-02 11:55:00,2906,338,35
5,5059.32,46.85,108,2019-06-18 13:27:00,2019-10-26 11:43:00,1801,129,42
7,13375.87,31.85,420,2018-11-29 13:24:00,2019-12-07 10:02:00,11071,372,0
2,806.14,16.12,50,2019-03-22 13:05:00,2019-09-14 12:38:00,394,175,84
2,7829.89,217.5,36,2019-03-15 07:40:00,2019-09-19 09:06:00,2055,188,79
1,509.01,31.81,16,2019-08-30 12:09:00,2019-08-30 12:09:00,211,0,99
18,4951.41,24.88,199,2019-01-10 14:13:00,2019-12-06 11:35:00,2922,329,1
2,2906.85,29.66,98,2019-07-20 13:29:00,2019-11-23 13:28:00,1180,125,13
1,173.55,15.78,11,2018-12-06 10:45:00,2018-12-06 10:45:00,121,0,366
1,172.06,14.34,12,2019-12-04 14:22:00,2019-12-04 14:22:00,182,0,2
5,5005.46,28.44,176,2019-06-19 14:00:00,2019-11-16 13:23:00,1153,149,20
1,133.4,33.35,4,2019-11-15 18:43:00,2019-11-15 18:43:00,62,0,21
1,1002.31,17.58,57,2019-10-11 12:50:00,2019-10-11 12:50:00,351,0,57
1,476.49,18.33,26,2019-04-08 13:25:00,2019-04-08 13:25:00,190,0,242
1,449.45,20.43,22,2019-10-24 13:46:00,2019-10-24 13:46:00,243,0,43
4,4067.29,21.29,191,2019-06-03 15:37:00,2019-11-15 13:46:00,1553,164,21
2,197.88,24.74,8,2019-06-17 14:36:00,2019-07-04 14:41:00,128,17,155
5,9035.52,25.52,354,2019-01-17 09:05:00,2019-11-27 08:40:00,6575,313,10
2,430.57,19.57,22,2019-11-21 08:05:00,2019-11-21 10:28:00,185,0,16
1,707.09,16.44,43,2019-07-26 14:08:00,2019-07-26 14:08:00,473,0,133
1,3528.34,235.22,15,2019-10-12 17:13:00,2019-10-12 17:13:00,1006,0,55
6,2466.86,27.41,90,2019-02-14 09:56:00,2019-09-25 15:31:00,2089,223,72
3,3181.04,25.45,125,2019-03-28 09:12:00,2019-10-24 14:41:00,1633,210,43
7,2363.23,38.12,62,2019-04-12 18:57:00,2019-10-02 13:13:00,843,172,65
2,947.4,24.93,38,2019-02-26 10:55:00,2019-09-27 15:25:00,506,213,70
2,826.88,23.63,35,2019-07-06 10:23:00,2019-09-04 16:57:00,287,60,93
2,1189.59,19.19,62,2019-02-07 14:44:00,2019-11-19 09:11:00,536,284,18
4,1344.78,16.2,83,2019-04-10 12:47:00,2019-10-15 13:44:00,776,188,52
8,1212.05,41.79,29,2019-02-01 13:30:00,2019-11-27 13:33:00,112,299,9
2,742.19,15.79,47,2019-06-21 13:37:00,2019-11-20 16:34:00,479,152,16
2,729.54,19.2,38,2019-01-25 13:29:00,2019-06-03 11:36:00,366,128,187
30,19824.05,43.1,460,2018-12-08 09:35:00,2019-12-05 15:43:00,8212,362,1
7,6572.11,19.39,339,2018-12-03 14:19:00,2019-11-05 14:01:00,4148,336,31
5,3938.55,23.44,168,2019-05-30 10:15:00,2019-11-08 13:46:00,2439,162,28
18,7375.79,17.4,424,2019-01-12 10:06:00,2019-11-20 14:39:00,4847,312,16
1,723.38,20.09,36,2019-10-15 10:10:00,2019-10-15 10:10:00,535,0,53
11,6816.42,29.26,233,2018-12-11 14:39:00,2019-11-22 12:40:00,2408,345,15
6,13219.74,44.07,300,2019-02-09 12:45:00,2019-11-15 09:51:00,3653,278,22
1,680.99,18.92,36,2019-12-04 09:56:00,2019-12-04 09:56:00,236,0,3
1,527.2,17.01,31,2019-11-26 13:26:00,2019-11-26 13:26:00,385,0,10
4,3281.63,21.31,154,2019-01-05 15:27:00,2019-11-09 14:52:00,1707,307,27
10,5596.32,25.79,217,2018-12-07 10:13:00,2019-11-15 08:29:00,3304,342,22
8,2484.98,33.13,75,2019-01-02 14:20:00,2019-11-20 17:02:00,1110,322,16
6,4541.72,13.13,346,2019-01-05 14:04:00,2019-11-05 11:37:00,2191,303,32
3,1298.66,23.61,55,2019-09-23 10:34:00,2019-11-28 08:50:00,529,65,9
1,334.93,22.33,15,2019-01-05 13:13:00,2019-01-05 13:13:00,105,0,335
10,5417.93,22.11,245,2019-01-12 09:13:00,2019-12-02 16:07:00,3064,324,4
1,460.4,17.71,26,2019-10-30 12:18:00,2019-10-30 12:18:00,260,0,38
2,263.21,13.16,20,2019-08-24 14:51:00,2019-10-05 15:15:00,192,42,62
2,433.74,19.72,22,2019-05-24 14:53:00,2019-06-25 10:17:00,207,31,165
7,1246.1,16.18,77,2018-12-07 11:31:00,2019-11-22 09:34:00,707,349,15
1,1043.1,74.51,14,2019-09-17 12:29:00,2019-09-17 12:29:00,1236,0,81
3,403.7,17.55,23,2019-10-11 09:30:00,2019-11-16 12:53:00,159,36,20
11,4257.82,69.8,61,2019-01-08 09:48:00,2019-11-14 16:20:00,2678,310,22
1,2169.39,14.56,149,2019-01-05 12:28:00,2019-01-05 12:28:00,1783,0,336
5,3723.87,25.33,147,2019-02-01 10:41:00,2019-09-03 11:52:00,820,214,95
2,482.05,53.56,9,2019-11-07 14:56:00,2019-11-19 16:02:00,90,12,17
1,73.5,3.2,23,2019-04-19 08:54:00,2019-04-19 08:54:00,23,0,232
3,1304.81,62.13,21,2019-02-12 09:24:00,2019-07-26 17:09:00,894,164,133
2,398.27,5.77,69,2019-11-08 16:27:00,2019-11-11 15:37:00,272,2,25
1,176.5,25.21,7,2019-02-26 14:45:00,2019-02-26 14:45:00,55,0,283
2,982.57,29.77,33,2019-01-16 14:04:00,2019-07-18 10:15:00,353,182,142
2,138.03,4.06,34,2019-10-02 14:53:00,2019-10-02 14:55:00,99,0,65
1,612.29,17.49,35,2019-08-17 10:51:00,2019-08-17 10:51:00,462,0,112
1,1017.68,19.95,51,2019-03-15 16:38:00,2019-03-15 16:38:00,440,0,266
1,383.7,23.98,16,2018-12-19 15:43:00,2018-12-19 15:43:00,131,0,352
2,1312.06,50.46,26,2019-06-10 11:37:00,2019-09-21 09:13:00,875,102,77
5,2502.84,8.81,284,2019-05-31 15:13:00,2019-11-09 14:04:00,1371,161,27
5,2056.89,16.59,124,2019-08-19 13:18:00,2019-12-07 10:13:00,1318,109,0
1,340.84,18.94,18,2019-10-05 09:26:00,2019-10-05 09:26:00,183,0,63
5,2634.26,17.33,152,2019-03-09 11:35:00,2019-09-19 15:23:00,1439,194,78
1,599.68,15.78,38,2019-07-18 10:51:00,2019-07-18 10:51:00,309,0,142
2,192.72,16.06,12,2019-10-17 14:41:00,2019-10-29 15:30:00,194,12,38
11,1789.77,16.88,106,2019-01-10 09:43:00,2019-11-18 12:55:00,865,312,18
8,4485.72,31.15,144,2019-01-08 10:35:00,2019-11-28 15:31:00,3699,324,8
3,1316.66,18.54,71,2019-09-04 14:19:00,2019-12-07 12:09:00,632,93,0
3,348.71,19.37,18,2019-01-16 12:05:00,2019-09-17 11:55:00,234,243,81
6,1933.48,21.02,92,2019-01-29 09:05:00,2019-11-28 14:40:00,756,303,8
4,1662.28,25.19,66,2019-01-05 10:04:00,2019-10-09 12:34:00,913,277,59
1,125.22,7.37,17,2019-11-23 11:12:00,2019-11-23 11:12:00,45,0,14
1,349.83,21.86,16,2019-11-07 13:47:00,2019-11-07 13:47:00,153,0,29
1,1089.18,17.29,63,2019-07-30 10:26:00,2019-07-30 10:26:00,651,0,130
2,716.35,21.07,34,2019-06-04 12:47:00,2019-09-07 08:48:00,219,94,91
3,12601.83,48.28,261,2019-10-09 14:52:00,2019-10-25 14:20:00,2803,15,42
1,363.95,17.33,21,2019-11-08 17:16:00,2019-11-08 17:16:00,191,0,28
4,5568.35,20.4,273,2019-01-08 09:11:00,2019-11-15 13:30:00,2067,311,21
17,13400.24,28.03,478,2018-12-11 09:39:00,2019-11-18 11:31:00,6685,342,19
3,981.18,18.87,52,2019-03-02 09:32:00,2019-11-08 10:40:00,680,251,29
1,372.7,19.62,19,2019-11-01 16:15:00,2019-11-01 16:15:00,136,0,35
2,1000.39,20.01,50,2019-03-23 12:04:00,2019-09-23 13:39:00,523,184,74
2,1161.5,16.83,69,2019-09-21 09:44:00,2019-10-22 12:09:00,633,31,46
2,207.8,25.98,8,2019-03-02 12:46:00,2019-05-24 12:38:00,134,82,197
1,95.2,19.04,5,2019-06-24 15:35:00,2019-06-24 15:35:00,49,0,165
1,964.83,16.93,57,2019-09-19 14:35:00,2019-09-19 14:35:00,569,0,78
1,168.0,16.8,10,2018-12-15 11:23:00,2018-12-15 11:23:00,100,0,357
2,437.82,21.89,20,2019-10-29 12:11:00,2019-10-30 10:02:00,88,0,38
10,3692.28,19.33,191,2019-01-12 10:42:00,2019-11-29 16:38:00,1965,321,7
2,603.71,4.99,121,2019-07-09 13:35:00,2019-10-18 13:06:00,358,100,49
5,11990.96,363.36,33,2018-12-01 12:20:00,2019-11-21 16:59:00,4384,355,15
1,269.96,24.54,11,2019-11-30 10:41:00,2019-11-30 10:41:00,196,0,7
2,561.71,26.75,21,2019-01-22 10:12:00,2019-01-31 09:49:00,283,8,310
3,2134.01,20.32,105,2019-07-17 15:55:00,2019-12-02 13:54:00,1110,137,4
1,238.85,14.93,16,2019-02-08 11:39:00,2019-02-08 11:39:00,177,0,302
7,3781.74,22.51,168,2019-05-23 12:44:00,2019-11-29 17:20:00,1779,190,7
1,456.9,21.76,21,2019-03-21 14:55:00,2019-03-21 14:55:00,133,0,260
1,145.92,16.21,9,2019-02-22 10:34:00,2019-02-22 10:34:00,80,0,288
1,351.65,18.51,19,2019-09-12 14:30:00,2019-09-12 14:30:00,265,0,85
10,9401.28,21.08,446,2018-12-03 11:57:00,2019-11-15 11:02:00,4305,346,22
32,4124.69,21.94,188,2019-03-30 13:47:00,2019-12-05 16:24:00,1801,250,1
2,519.61,15.28,34,2019-08-08 12:35:00,2019-10-29 10:19:00,523,81,39
2,1020.42,17.01,60,2019-10-17 08:20:00,2019-11-29 09:20:00,452,43,8
1,160.54,5.73,28,2019-04-24 15:52:00,2019-04-24 15:52:00,84,0,226
1,218.45,19.86,11,2019-01-26 09:20:00,2019-01-26 09:20:00,61,0,315
5,1315.83,14.95,88,2019-02-06 11:31:00,2019-11-02 10:11:00,967,268,35
3,657.8,4.47,147,2018-12-13 16:21:00,2019-11-02 13:24:00,472,323,34
2,2794.51,24.51,114,2019-01-11 15:34:00,2019-11-16 13:30:00,1196,308,20
1,440.42,15.19,29,2019-09-20 17:15:00,2019-09-20 17:15:00,285,0,77
1,415.7,17.32,24,2019-04-05 10:24:00,2019-04-05 10:24:00,238,0,246
1,197.71,13.18,15,2019-10-29 08:56:00,2019-10-29 08:56:00,161,0,39
2,511.36,23.24,22,2019-02-22 11:42:00,2019-04-13 08:45:00,300,49,238
15,7281.38,29.48,247,2018-11-29 08:45:00,2019-12-05 08:07:00,5060,370,2
9,2338.15,24.36,96,2019-03-02 15:15:00,2019-12-04 09:35:00,416,276,3
2,2040.1,23.45,87,2018-12-21 12:58:00,2019-04-17 13:39:00,1279,117,233
1,196.94,17.9,11,2019-11-20 16:24:00,2019-11-20 16:24:00,79,0,16
1,144.0,36.0,4,2019-11-30 12:47:00,2019-11-30 12:47:00,51,0,7
1,214.9,21.49,10,2019-10-29 15:01:00,2019-10-29 15:01:00,53,0,38
2,646.68,18.48,35,2019-07-16 12:05:00,2019-11-09 10:19:00,306,115,28
2,9864.26,145.06,68,2019-05-10 14:46:00,2019-05-10 14:52:00,4283,0,210
1,452.85,17.42,26,2019-01-24 14:35:00,2019-01-24 14:35:00,228,0,316
2,437.6,24.31,18,2019-05-08 13:44:00,2019-09-06 15:04:00,290,121,91
3,418.1,19.91,21,2019-05-03 09:29:00,2019-08-21 12:43:00,206,110,108
10,3338.22,28.29,118,2019-01-19 09:52:00,2019-10-31 12:20:00,1777,285,37
2,618.27,22.9,27,2019-04-09 13:22:00,2019-10-17 13:02:00,474,190,50
4,3811.22,18.5,206,2019-03-14 14:00:00,2019-11-18 13:33:00,2236,248,18
8,3023.08,22.9,132,2019-02-26 11:58:00,2019-11-28 12:18:00,1964,275,9
7,1032.58,16.65,62,2019-02-06 13:28:00,2019-11-08 13:34:00,956,275,28
10,2599.04,40.61,64,2018-12-01 12:57:00,2019-11-09 10:29:00,774,342,28
5,577.06,20.61,28,2019-01-09 10:38:00,2019-06-01 10:17:00,245,142,189
1,153.12,12.76,12,2019-10-10 11:22:00,2019-10-10 11:22:00,162,0,58
1,739.2,369.6,2,2019-11-16 10:42:00,2019-11-16 10:42:00,63,0,21
2,254.18,15.89,16,2019-03-21 12:06:00,2019-09-19 14:08:00,201,182,78
1,1579.51,15.64,101,2019-10-08 16:06:00,2019-10-08 16:06:00,1228,0,59
3,1126.85,18.78,60,2019-01-23 15:13:00,2019-09-20 16:34:00,648,240,77
5,2099.54,19.81,106,2019-08-03 13:52:00,2019-11-15 09:34:00,1049,103,22
1,1193.32,18.36,65,2019-10-16 13:12:00,2019-10-16 13:12:00,846,0,51
1,704.04,37.05,19,2019-09-24 15:35:00,2019-09-24 15:35:00,262,0,73
5,3344.38,21.86,153,2019-03-20 15:42:00,2019-10-11 14:59:00,1644,204,56
1,315.6,15.78,20,2019-03-05 10:22:00,2019-03-05 10:22:00,76,0,277
4,2291.19,21.82,105,2019-06-22 13:35:00,2019-12-05 15:02:00,1376,166,1
2,713.3,22.29,32,2019-02-13 14:17:00,2019-09-03 15:17:00,284,202,94
1,355.53,8.46,42,2019-11-08 14:39:00,2019-11-08 14:39:00,213,0,28
1,177.31,16.12,11,2019-11-16 11:10:00,2019-11-16 11:10:00,96,0,21
9,3641.24,40.46,90,2019-03-29 13:10:00,2019-11-21 14:52:00,3378,237,15
3,1339.41,14.56,92,2019-05-17 12:10:00,2019-11-23 10:20:00,1181,189,14
20,13689.67,29.31,467,2018-12-07 10:16:00,2019-12-06 11:25:00,7440,364,1
1,180.1,16.37,11,2019-04-19 16:39:00,2019-04-19 16:39:00,69,0,231
1,305.1,16.95,18,2019-03-06 13:50:00,2019-03-06 13:50:00,191,0,275
2,641.13,16.87,38,2019-06-13 12:34:00,2019-08-23 15:04:00,355,71,105
2,2683.82,31.21,86,2019-01-22 13:27:00,2019-05-10 09:54:00,1612,107,211
9,6620.48,22.52,294,2019-01-15 11:01:00,2019-11-14 16:06:00,3453,303,22
7,4478.53,19.47,230,2019-07-20 13:59:00,2019-11-27 12:07:00,2752,129,10
3,786.46,19.18,41,2019-10-04 09:28:00,2019-12-03 13:15:00,448,60,3
2,1270.88,19.86,64,2019-10-25 10:41:00,2019-11-28 10:48:00,548,34,9
1,640.5,20.66,31,2019-10-11 13:53:00,2019-10-11 13:53:00,236,0,56
4,2163.98,21.43,101,2019-02-23 08:44:00,2019-10-10 11:40:00,1162,229,58
2,1689.18,16.72,101,2019-07-06 08:43:00,2019-09-09 11:04:00,1172,65,89
8,6021.9,15.44,390,2019-01-18 10:47:00,2019-10-01 13:46:00,3002,256,66
1,671.69,17.22,39,2019-11-04 13:11:00,2019-11-04 13:11:00,577,0,32
1,486.1,22.1,22,2019-04-13 12:48:00,2019-04-13 12:48:00,201,0,238
3,1174.58,22.16,53,2019-09-17 12:01:00,2019-11-14 11:52:00,311,57,23
1,185.9,18.59,10,2019-08-14 13:26:00,2019-08-14 13:26:00,72,0,114
3,1013.26,21.56,47,2019-08-22 09:23:00,2019-11-12 15:03:00,552,82,24
6,3344.64,139.36,24,2019-01-09 11:48:00,2019-08-01 12:56:00,1808,204,127
1,477.91,15.42,31,2019-07-31 10:33:00,2019-07-31 10:33:00,325,0,129
4,1775.18,24.32,73,2019-01-25 13:08:00,2019-11-04 12:38:00,1084,282,33
2,1346.97,29.93,45,2019-10-19 12:52:00,2019-12-03 10:14:00,897,44,4
12,3722.82,30.77,121,2018-12-03 14:02:00,2019-11-15 12:56:00,1431,346,21
1,318.05,15.15,21,2019-07-06 11:55:00,2019-07-06 11:55:00,160,0,154
3,623.51,20.11,31,2019-05-09 14:37:00,2019-08-22 14:41:00,586,105,106
1,314.44,15.72,20,2019-12-04 16:34:00,2019-12-04 16:34:00,254,0,2
1,114.0,12.67,9,2019-01-07 12:46:00,2019-01-07 12:46:00,78,0,334
1,919.98,19.17,48,2019-01-10 15:00:00,2019-01-10 15:00:00,505,0,330
2,2209.85,51.39,43,2019-02-14 10:53:00,2019-07-12 10:41:00,919,147,148
5,601.98,15.84,38,2019-02-15 13:16:00,2019-11-27 10:10:00,264,284,10
5,4051.17,32.15,126,2019-04-18 09:20:00,2019-11-20 13:42:00,1723,216,16
4,1643.18,34.96,47,2019-09-20 11:40:00,2019-11-26 15:47:00,1044,67,10
1,686.05,19.06,36,2019-11-19 10:22:00,2019-11-19 10:22:00,320,0,18
1,91.68,18.34,5,2019-11-08 11:53:00,2019-11-08 11:53:00,105,0,29
1,245.1,18.85,13,2019-11-26 13:26:00,2019-11-26 13:26:00,127,0,10
11,3849.78,16.74,230,2018-11-29 13:04:00,2019-12-07 11:59:00,2058,372,0
9,4881.88,131.94,37,2019-01-19 11:42:00,2019-11-29 17:07:00,1203,314,7
1,63.0,21.0,3,2019-01-17 08:34:00,2019-01-17 08:34:00,37,0,324
1,620.13,18.79,33,2019-10-10 17:00:00,2019-10-10 17:00:00,395,0,57
4,3807.15,23.65,161,2018-12-17 12:46:00,2019-11-26 10:56:00,1634,343,11
3,2744.03,27.17,101,2019-03-26 10:15:00,2019-07-10 09:54:00,1115,105,150
5,2996.05,32.57,92,2019-04-19 10:16:00,2019-11-27 15:23:00,1397,222,9
1,225.9,22.59,10,2019-01-12 09:20:00,2019-01-12 09:20:00,78,0,329
2,610.52,14.54,42,2019-01-15 11:46:00,2019-12-02 13:55:00,351,321,4
4,1970.6,23.74,83,2019-05-14 09:10:00,2019-10-30 12:12:00,1133,169,38
6,1331.39,29.59,45,2019-01-30 15:41:00,2019-11-13 12:25:00,670,286,24
12,17628.46,106.84,165,2018-12-19 11:00:00,2019-10-26 13:04:00,10923,311,41
4,1113.02,23.19,48,2019-02-27 12:26:00,2019-10-10 12:30:00,554,225,58
4,862.81,16.59,52,2019-08-16 15:44:00,2019-12-07 12:50:00,443,112,0
22,13787.54,21.61,638,2018-12-05 10:08:00,2019-11-23 11:33:00,7536,353,14
31,12288.22,23.41,525,2018-12-01 13:59:00,2019-12-04 10:00:00,5575,367,3
15,8476.57,24.64,344,2018-12-07 10:37:00,2019-12-03 16:31:00,4987,361,3
7,2283.63,21.75,105,2019-05-08 12:55:00,2019-11-30 09:53:00,1985,205,7
6,2863.08,18.24,157,2019-09-05 10:28:00,2019-11-09 13:46:00,1523,65,27
1,89.14,12.73,7,2018-12-01 09:51:00,2018-12-01 09:51:00,107,0,371
1,4873.81,28.5,171,2019-08-16 08:49:00,2019-08-16 08:49:00,3028,0,113
2,1247.61,17.33,72,2019-08-02 10:04:00,2019-11-12 08:31:00,628,101,25
1,389.01,24.31,16,2019-05-16 09:09:00,2019-05-16 09:09:00,106,0,205
6,1035.8,32.37,32,2018-12-15 14:46:00,2019-11-09 16:49:00,394,329,27
4,855.91,21.95,39,2019-01-22 12:58:00,2019-08-02 17:51:00,255,192,126
2,869.67,23.5,37,2019-06-07 17:48:00,2019-09-28 13:06:00,509,112,69
4,582.1,21.56,27,2019-05-11 13:15:00,2019-11-30 13:22:00,220,203,6
3,957.59,23.36,41,2019-06-21 15:44:00,2019-11-09 08:47:00,508,140,28
4,4939.99,18.43,268,2019-05-06 16:10:00,2019-11-30 10:47:00,2967,207,7
2,797.71,15.05,53,2019-04-09 13:02:00,2019-09-19 10:47:00,678,162,79
1,219.0,18.25,12,2019-11-18 10:36:00,2019-11-18 10:36:00,53,0,19
1,283.55,13.5,21,2019-09-27 17:52:00,2019-09-27 17:52:00,164,0,70
8,2340.84,26.6,88,2019-06-21 10:20:00,2019-11-30 13:15:00,1006,162,6
9,6868.29,20.56,334,2018-12-15 15:58:00,2019-11-22 13:17:00,3997,341,14
1,603.42,18.29,33,2019-02-19 08:38:00,2019-02-19 08:38:00,256,0,291
10,2712.91,17.28,157,2018-12-04 10:43:00,2019-11-08 09:52:00,1307,338,29
15,9736.52,46.81,208,2018-12-06 09:49:00,2019-11-22 15:38:00,3936,351,14
3,1149.02,14.92,77,2019-05-20 14:05:00,2019-09-02 12:00:00,851,104,96
13,4396.13,33.05,133,2018-12-01 14:30:00,2019-11-09 08:19:00,1062,342,28
1,848.55,22.33,38,2019-12-07 12:16:00,2019-12-07 12:16:00,508,0,0
5,4708.86,18.18,259,2019-02-16 10:53:00,2019-11-28 15:43:00,3069,285,8
1,353.86,16.85,21,2019-08-23 15:22:00,2019-08-23 15:22:00,197,0,105
2,1053.49,15.27,69,2019-07-27 13:28:00,2019-12-04 08:55:00,708,129,3
2,1030.98,18.75,55,2019-04-06 10:32:00,2019-07-09 14:47:00,506,94,150
1,238.25,12.54,19,2019-09-27 16:38:00,2019-09-27 16:38:00,203,0,70
2,644.95,16.54,39,2019-10-03 14:50:00,2019-12-02 13:45:00,374,59,4
25,5781.73,16.33,354,2018-12-03 15:21:00,2019-12-05 08:03:00,4672,366,2
6,2656.13,16.5,161,2018-12-18 11:38:00,2019-11-06 12:13:00,1959,323,31
4,997.63,18.82,53,2019-07-10 11:55:00,2019-09-13 14:50:00,566,65,84
5,725.07,10.51,69,2019-10-03 15:52:00,2019-12-04 10:19:00,434,61,3
