Frequency,Monetary,Recency,CustomerID,R_Score,F_Score,M_Score,RFM_Score,Segment,KMeans_Cluster
1,456.9,260,12564,1,1,2,112,About to Sleep,1
1,145.92,288,12565,1,1,1,111,About to Sleep,1
1,351.65,85,12566,2,1,2,212,About to Sleep,0
10,9401.28,22,12567,4,5,5,455,Champions,7
32,4124.69,1,12569,5,5,5,555,Champions,4
2,519.61,39,12571,3,2,3,323,Promising,0
2,1020.42,8,12572,5,2,4,524,Potential Loyalists,0
1,160.54,226,12573,1,1,1,111,About to Sleep,1
1,218.45,315,12574,1,1,1,111,About to Sleep,1
5,1315.83,35,12576,3,4,4,344,Loyal Customers,0
3,657.8,34,12577,3,3,3,333,Loyal Customers,0
2,2794.51,20,12578,4,2,5,425,Potential Loyalists,0
1,440.42,77,12579,2,1,2,212,About to Sleep,0
1,415.7,246,12580,1,1,2,112,About to Sleep,1
1,197.71,39,12581,3,1,1,311,Lost,0
2,511.36,238,12582,1,2,3,123,About to Sleep,1
15,7281.38,2,12583,5,5,5,555,Champions,7
9,2338.15,3,12584,5,5,5,555,Champions,7
2,2040.1,233,12585,1,2,4,124,About to Sleep,1
1,196.94,16,12586,4,1,1,411,New Customers,0
1,144.0,7,12587,5,1,1,511,New Customers,0
1,214.9,38,12588,3,1,1,311,Lost,0
2,646.68,28,12589,4,2,3,423,Potential Loyalists,0
2,9864.26,210,12590,1,2,5,125,About to Sleep,5
1,452.85,316,12591,1,1,2,112,About to Sleep,1
2,437.6,91,12592,2,2,2,222,About to Sleep,0
3,418.1,108,12593,2,3,2,232,At Risk,5
10,3338.22,37,12594,3,5,5,355,Loyal Customers,7
2,618.27,50,12596,3,2,3,323,Promising,0
4,3811.22,18,12597,4,4,5,445,Champions,0
8,3023.08,9,12598,5,5,5,555,Champions,7
7,1032.58,28,12599,4,5,4,454,Champions,7
10,2599.04,28,12600,4,5,5,455,Champions,7
5,577.06,189,12601,1,4,3,143,At Risk,5
1,153.12,58,12602,3,1,1,311,Lost,0
1,739.2,21,12603,4,1,3,413,New Customers,0
2,254.18,78,12604,2,2,2,222,About to Sleep,0
1,1579.51,59,12607,3,1,4,314,Promising,0
3,1126.85,77,12609,2,3,4,234,At Risk,0
5,2099.54,22,12610,4,4,5,445,Champions,0
1,1193.32,51,12611,3,1,4,314,Promising,0
1,704.04,73,12612,2,1,3,213,About to Sleep,0
5,3344.38,56,12613,3,4,5,345,Loyal Customers,0
1,315.6,277,12614,1,1,2,112,About to Sleep,1
4,2291.19,1,12615,5,4,5,545,Champions,0
2,713.3,94,12616,2,2,3,223,About to Sleep,0
1,355.53,28,12617,4,1,2,412,New Customers,0
1,177.31,21,12618,4,1,1,411,New Customers,0
9,3641.24,15,12619,4,5,5,455,Champions,7
3,1339.41,14,12620,4,3,4,434,Loyal Customers,0
20,13689.67,1,12621,5,5,5,555,Champions,4
1,180.1,231,12622,1,1,1,111,About to Sleep,1
1,305.1,275,12623,1,1,2,112,About to Sleep,1
2,641.13,105,12624,2,2,3,223,About to Sleep,5
2,2683.82,211,12625,1,2,5,125,About to Sleep,5
9,6620.48,22,12626,4,5,5,455,Champions,7
7,4478.53,10,12627,5,5,5,555,Champions,7
3,786.46,3,12628,5,3,3,533,Loyal Customers,0
2,1270.88,9,12630,5,2,4,524,Potential Loyalists,0
1,640.5,56,12631,3,1,3,313,Promising,0
4,2163.98,58,12633,3,4,5,345,Loyal Customers,0
2,1689.18,89,12635,2,2,4,224,About to Sleep,0
8,6021.9,66,12637,3,5,5,355,Loyal Customers,7
1,671.69,32,12638,4,1,3,413,New Customers,0
1,486.1,238,12639,1,1,2,112,About to Sleep,1
3,1174.58,23,12640,4,3,4,434,Loyal Customers,0
1,185.9,114,12641,2,1,1,211,About to Sleep,5
3,1013.26,24,12642,4,3,4,434,Loyal Customers,0
6,3344.64,127,12643,2,5,5,255,At Risk,5
1,477.91,129,12644,2,1,2,212,About to Sleep,5
4,1775.18,33,12645,3,4,4,344,Loyal Customers,0
2,1346.97,4,12646,5,2,4,524,Potential Loyalists,0
12,3722.82,21,12647,4,5,5,455,Champions,7
1,318.05,154,12648,2,1,2,212,About to Sleep,5
3,623.51,106,12649,2,3,3,233,At Risk,5
1,314.44,2,12650,5,1,2,512,New Customers,0
1,114.0,334,12651,1,1,1,111,About to Sleep,1
1,919.98,330,12652,1,1,3,113,About to Sleep,1
2,2209.85,148,12653,2,2,5,225,About to Sleep,5
5,601.98,10,12654,5,4,3,543,Loyal Customers,0
5,4051.17,16,12656,4,4,5,445,Champions,0
4,1643.18,10,12657,5,4,4,544,Champions,0
1,686.05,18,12658,4,1,3,413,New Customers,0
1,91.68,29,12659,4,1,1,411,New Customers,0
1,245.1,10,12660,5,1,1,511,New Customers,0
11,3849.78,0,12662,5,5,5,555,Champions,7
9,4881.88,7,12664,5,5,5,555,Champions,7
1,63.0,324,12665,1,1,1,111,About to Sleep,1
1,620.13,57,12667,3,1,3,313,Promising,0
4,3807.15,11,12668,5,4,5,545,Champions,0
3,2744.03,150,12669,2,3,5,235,At Risk,5
5,2996.05,9,12670,5,4,5,545,Champions,0
1,225.9,329,12672,1,1,1,111,About to Sleep,1
2,610.52,4,12673,5,2,3,523,Potential Loyalists,0
4,1970.6,38,12674,3,4,4,344,Loyal Customers,0
6,1331.39,24,12676,4,5,4,454,Champions,0
12,17628.46,41,12678,3,5,5,355,Loyal Customers,7
4,1113.02,58,12679,3,4,4,344,Loyal Customers,0
4,862.81,0,12680,5,4,3,543,Loyal Customers,0
22,13787.54,14,12681,4,5,5,455,Champions,4
31,12288.22,3,12682,5,5,5,555,Champions,4
15,8476.57,3,12683,5,5,5,555,Champions,7
7,2283.63,7,12684,5,5,5,555,Champions,7
6,2863.08,27,12685,4,5,5,455,Champions,0
1,89.14,371,12686,1,1,1,111,About to Sleep,1
1,4873.81,113,12688,2,1,5,215,About to Sleep,5
2,1247.61,25,12689,4,2,4,424,Potential Loyalists,0
1,389.01,205,12690,1,1,2,112,About to Sleep,5
6,1035.8,27,12691,4,5,4,454,Champions,0
4,855.91,126,12693,2,4,3,243,At Risk,5
2,869.67,69,12694,3,2,3,323,Promising,0
4,582.1,6,12695,5,4,3,543,Loyal Customers,0
3,957.59,28,12697,4,3,4,434,Loyal Customers,0
4,4939.99,7,12700,5,4,5,545,Champions,0
2,797.71,79,12701,2,2,3,223,About to Sleep,0
1,219.0,19,12702,4,1,1,411,New Customers,0
1,283.55,70,12703,3,1,2,312,Lost,0
8,2340.84,6,12704,5,5,5,555,Champions,7
9,6868.29,14,12705,4,5,5,455,Champions,7
1,603.42,291,12707,1,1,3,113,About to Sleep,1
10,2712.91,29,12708,4,5,5,455,Champions,7
15,9736.52,14,12709,4,5,5,455,Champions,7
3,1149.02,96,12710,2,3,4,234,At Risk,0
13,4396.13,28,12712,4,5,5,455,Champions,7
1,848.55,0,12713,5,1,3,513,New Customers,0
5,4708.86,8,12714,5,4,5,545,Champions,0
1,353.86,105,12715,2,1,2,212,About to Sleep,5
2,1053.49,3,12716,5,2,4,524,Potential Loyalists,0
2,1030.98,150,12717,2,2,4,224,About to Sleep,5
1,238.25,70,12718,3,1,1,311,Lost,0
2,644.95,4,12719,5,2,3,523,Potential Loyalists,0
25,5781.73,2,12720,5,5,5,555,Champions,4
6,2656.13,31,12721,4,5,5,455,Champions,0
4,997.63,84,12722,2,4,4,244,At Risk,0
5,725.07,3,12723,5,4,3,543,Loyal Customers,0
4,1031.41,4,12724,5,4,4,544,Champions,0
1,427.8,370,12725,1,1,2,112,About to Sleep,1
7,2609.1,27,12726,4,5,5,455,Champions,7
7,3980.7,10,12727,5,5,5,555,Champions,7
4,836.33,70,12728,3,4,3,343,Loyal Customers,0
1,453.01,113,12729,2,1,2,212,About to Sleep,5
12,18895.91,23,12731,4,5,5,455,Champions,7
1,236.26,179,12732,1,1,1,111,About to Sleep,5
1,383.95,233,12733,1,1,2,112,About to Sleep,1
1,110.4,352,12734,1,1,1,111,About to Sleep,1
2,779.57,314,12735,1,2,3,123,About to Sleep,1
1,234.0,332,12736,1,1,1,111,About to Sleep,1
1,155.35,371,12738,1,1,1,111,About to Sleep,1
2,1013.04,77,12739,2,2,4,224,About to Sleep,0
1,427.6,63,12740,3,1,2,312,Lost,0
2,546.43,133,12743,2,2,3,223,About to Sleep,5
7,21279.29,51,12744,3,5,5,355,Loyal Customers,7
11,4196.01,1,12747,5,5,5,555,Champions,7
209,33719.73,0,12748,5,5,5,555,Champions,2
5,4090.88,3,12749,5,4,5,545,Champions,0
1,275.88,128,12750,2,1,2,212,About to Sleep,5
1,4366.78,80,12752,2,1,5,215,About to Sleep,0
6,21429.39,22,12753,4,5,5,455,Champions,7
3,3010.74,235,12754,1,3,5,135,At Risk,1
2,3811.95,280,12755,1,2,5,125,About to Sleep,1
1,112.08,86,12756,2,1,1,211,About to Sleep,0
13,7857.1,15,12757,4,5,5,455,Champions,7
2,2791.59,116,12758,2,2,5,225,About to Sleep,5
3,1531.44,51,12759,3,3,4,334,Loyal Customers,0
2,1898.52,7,12762,5,2,4,524,Potential Loyalists,0
2,494.08,137,12763,2,2,3,223,About to Sleep,5
1,1693.88,316,12764,1,1,4,114,About to Sleep,1
7,6989.63,3,12766,5,5,5,555,Champions,7
1,1143.6,238,12769,1,1,4,114,About to Sleep,1
1,1351.45,210,12770,1,1,4,114,About to Sleep,5
1,892.47,59,12772,3,1,3,313,Promising,0
5,1386.04,16,12775,4,4,4,444,Champions,0
6,822.23,19,12778,4,5,3,453,Loyal Customers,0
8,3981.36,37,12779,3,5,5,355,Loyal Customers,7
2,826.74,63,12781,3,2,3,323,Promising,0
5,2330.92,4,12782,5,4,5,545,Champions,0
6,2225.91,1,12783,5,5,5,555,Champions,7
2,574.42,8,12784,5,2,3,523,Potential Loyalists,0
1,311.95,363,12785,1,1,2,112,About to Sleep,1
3,463.66,9,12787,5,3,2,532,Loyal Customers,0
1,91.85,64,12789,3,1,1,311,Lost,0
1,324.92,191,12790,1,1,2,112,About to Sleep,5
1,192.6,373,12791,1,1,1,111,About to Sleep,1
1,400.54,256,12792,1,1,2,112,About to Sleep,1
2,545.48,334,12793,1,2,3,123,About to Sleep,1
2,860.41,52,12794,3,2,3,323,Promising,0
1,430.48,18,12795,4,1,2,412,New Customers,0
1,254.03,365,12797,1,1,2,112,About to Sleep,1
3,6977.04,9,12798,5,3,5,535,Loyal Customers,0
1,427.58,186,12802,1,1,2,112,About to Sleep,5
3,483.65,36,12808,3,3,2,332,Loyal Customers,0
1,489.31,177,12809,2,1,2,212,About to Sleep,5
3,514.85,260,12811,1,3,3,133,At Risk,1
1,229.64,44,12812,3,1,1,311,Lost,0
1,125.92,101,12814,2,1,1,211,About to Sleep,5
2,1063.46,147,12815,2,2,4,224,About to Sleep,5
2,572.2,95,12816,2,2,3,223,About to Sleep,0
1,166.04,280,12817,1,1,1,111,About to Sleep,1
1,1542.08,261,12818,1,1,4,114,About to Sleep,1
4,942.34,2,12820,5,4,4,544,Champions,0
1,92.72,213,12821,1,1,1,111,About to Sleep,5
2,948.88,70,12822,3,2,4,324,Promising,0
5,1759.5,74,12823,2,4,4,244,At Risk,0
1,397.12,59,12824,3,1,2,312,Lost,0
7,1474.72,2,12826,5,5,4,554,Champions,7
3,430.15,5,12827,5,3,2,532,Loyal Customers,0
6,1018.71,2,12828,5,5,4,554,Champions,0
2,293.0,336,12829,1,2,2,122,About to Sleep,1
6,6814.64,37,12830,3,5,5,355,Loyal Customers,7
1,215.05,261,12831,1,1,1,111,About to Sleep,1
2,383.03,31,12832,4,2,2,422,Potential Loyalists,0
1,417.38,144,12833,2,1,2,212,About to Sleep,5
1,312.38,282,12834,1,1,2,112,About to Sleep,1
4,2612.86,58,12836,3,4,5,345,Loyal Customers,0
1,134.1,172,12837,2,1,1,211,About to Sleep,5
2,683.13,33,12838,3,2,3,323,Promising,0
14,5591.42,2,12839,5,5,5,555,Champions,7
4,2726.77,143,12840,2,4,5,245,At Risk,5
25,4022.35,4,12841,5,5,5,555,Champions,4
2,1118.99,69,12842,3,2,4,324,Promising,0
8,1702.26,65,12843,3,5,4,354,Loyal Customers,7
2,325.96,28,12844,4,2,2,422,Potential Loyalists,0
4,354.09,266,12845,1,4,2,142,At Risk,1
1,871.54,21,12847,4,1,3,413,New Customers,0
2,1050.89,30,12849,4,2,4,424,Potential Loyalists,0
1,135.18,96,12851,2,1,1,211,About to Sleep,0
1,311.55,294,12852,1,1,2,112,About to Sleep,1
6,1957.1,134,12853,2,5,4,254,At Risk,5
3,1324.5,78,12854,2,3,4,234,At Risk,0
1,38.1,372,12855,1,1,1,111,About to Sleep,1
6,2179.93,7,12856,5,5,5,555,Champions,0
2,1106.4,210,12857,1,2,4,124,About to Sleep,5
1,521.2,51,12863,3,1,3,313,Promising,0
1,147.12,137,12864,2,1,1,211,About to Sleep,5
2,1568.23,25,12865,4,2,4,424,Potential Loyalists,0
1,559.12,282,12866,1,1,3,113,About to Sleep,1
7,4036.82,25,12867,4,5,5,455,Champions,7
6,1607.06,185,12868,1,5,4,154,At Risk,5
2,380.64,83,12871,2,2,2,222,About to Sleep,0
2,599.97,326,12872,1,2,3,123,About to Sleep,1
1,374.0,281,12873,1,1,2,112,About to Sleep,1
2,343.23,142,12875,2,2,2,222,About to Sleep,5
2,2218.02,57,12876,3,2,5,325,Promising,0
12,1535.77,3,12877,5,5,4,554,Champions,7
2,854.99,235,12878,1,2,3,123,About to Sleep,1
3,573.22,44,12879,3,3,3,333,Loyal Customers,0
1,298.0,275,12881,1,1,2,112,About to Sleep,1
2,1463.04,8,12882,5,2,4,524,Potential Loyalists,0
4,703.47,24,12883,4,4,3,443,Loyal Customers,0
1,309.05,87,12884,2,1,2,212,About to Sleep,0
3,1175.22,62,12885,3,3,4,334,Loyal Customers,0
2,1378.4,67,12886,3,2,4,324,Promising,0
2,354.12,213,12888,1,2,2,122,About to Sleep,5
1,380.47,23,12890,4,1,2,412,New Customers,0
3,331.0,185,12891,1,3,2,132,At Risk,5
1,188.14,30,12893,4,1,1,411,New Customers,0
2,372.8,41,12895,3,2,2,322,Lost,0
2,216.5,204,12897,1,2,1,121,About to Sleep,5
28,17654.54,8,12901,5,5,5,555,Champions,4
1,138.68,264,12902,1,1,1,111,About to Sleep,1
2,509.58,17,12904,4,2,3,423,Potential Loyalists,0
5,2919.81,11,12906,5,4,5,545,Champions,0
2,750.0,175,12908,2,2,3,223,About to Sleep,5
5,2178.67,39,12909,3,4,5,345,Loyal Customers,0
8,3075.04,22,12910,4,5,5,455,Champions,7
5,1662.3,2,12912,5,4,4,544,Champions,0
5,2483.63,4,12913,5,4,5,545,Champions,0
2,363.65,148,12915,2,2,2,222,About to Sleep,5
4,3006.15,138,12916,2,4,5,245,At Risk,5
1,594.0,127,12917,2,1,3,213,About to Sleep,5
6,1335.19,7,12919,5,5,4,554,Champions,0
1,164.23,16,12920,4,1,1,411,New Customers,0
37,16587.09,8,12921,5,5,5,555,Champions,4
1,405.38,160,12922,2,1,2,212,About to Sleep,5
1,176.97,63,12923,3,1,1,311,Lost,0
4,933.7,87,12924,2,4,3,243,At Risk,0
2,694.05,4,12925,5,2,3,523,Potential Loyalists,0
5,2062.7,34,12928,3,4,5,345,Loyal Customers,0
1,117.85,311,12929,1,1,1,111,About to Sleep,1
2,415.8,77,12930,2,2,2,222,About to Sleep,0
15,42055.96,21,12931,4,5,5,455,Champions,4
3,607.53,23,12933,4,3,3,433,Loyal Customers,0
7,2160.7,1,12935,5,5,5,555,Champions,7
4,1063.9,16,12936,4,4,4,444,Champions,0
4,1504.27,14,12937,4,4,4,444,Champions,0
1,114.14,25,12938,4,1,1,411,New Customers,0
8,11581.8,63,12939,3,5,5,355,Loyal Customers,7
2,913.54,54,12940,3,2,3,323,Promising,0
3,683.9,130,12942,2,3,3,233,At Risk,5
2,604.51,35,12944,3,2,3,323,Promising,0
1,462.95,287,12945,1,1,2,112,About to Sleep,1
6,1603.99,143,12947,2,5,4,254,At Risk,5
7,2064.95,15,12948,4,5,5,455,Champions,7
8,4167.22,30,12949,4,5,5,455,Champions,7
3,1843.0,1,12950,5,3,4,534,Loyal Customers,0
6,1064.07,8,12951,5,5,4,554,Champions,0
4,1387.79,5,12952,5,4,4,544,Champions,0
1,329.85,9,12953,5,1,2,512,New Customers,0
11,4757.16,0,12955,5,5,5,555,Champions,7
1,108.07,305,12956,1,1,1,111,About to Sleep,1
8,4017.54,9,12957,5,5,5,555,Champions,7
2,266.39,6,12962,5,2,2,522,Potential Loyalists,0
8,1856.63,7,12963,5,5,4,554,Champions,7
1,771.91,88,12965,2,1,3,213,About to Sleep,0
1,160.18,9,12966,5,1,1,511,New Customers,0
2,1660.9,357,12967,1,2,4,124,About to Sleep,1
1,135.95,111,12968,2,1,1,211,About to Sleep,5
4,452.24,6,12970,5,4,2,542,Loyal Customers,0
86,11189.91,3,12971,5,5,5,555,Champions,2
1,144.8,197,12974,1,1,1,111,About to Sleep,5
1,738.6,211,12976,1,1,3,113,About to Sleep,5
1,39.24,155,12977,2,1,1,211,About to Sleep,5
9,7374.9,157,12980,2,5,5,255,At Risk,5
2,372.22,29,12981,4,2,2,422,Potential Loyalists,0
1,390.54,242,12982,1,1,2,112,About to Sleep,1
1,97.5,18,12984,4,1,1,411,New Customers,0
2,1239.38,0,12985,5,2,4,524,Potential Loyalists,0
2,558.7,73,12987,2,2,3,223,About to Sleep,0
1,535.32,291,12988,1,1,3,113,About to Sleep,1
15,6924.11,2,12989,5,5,5,555,Champions,7
3,409.5,30,12990,4,3,2,432,Loyal Customers,0
2,503.76,22,12991,4,2,3,423,Potential Loyalists,0
4,414.76,22,12993,4,4,2,442,Loyal Customers,0
3,974.42,3,12994,5,3,4,534,Loyal Customers,0
1,211.32,84,12995,2,1,1,211,About to Sleep,0
4,1226.89,21,12997,4,4,4,444,Champions,0
3,455.88,195,12999,1,3,2,132,At Risk,5
3,534.85,106,13000,2,3,3,233,At Risk,5
13,9818.82,3,13001,5,5,5,555,Champions,7
1,120.95,317,13002,1,1,1,111,About to Sleep,1
3,149.05,105,13003,2,3,1,231,At Risk,5
18,5655.91,11,13004,5,5,5,555,Champions,7
2,513.7,173,13005,2,2,3,223,About to Sleep,5
